	C5	C6	C8	C12	C16	C17	C18	C20	C25	C26
3872	0.26571967220530257	0.0	0.0	0.7342803277946974	0.0	0.0	0.0	0.0	0.0	0.0
4560	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3995	0.0	0.031057114261394715	0.0	0.27986151524335484	0.13878134738563988	0.28643883353390015	0.0	0.2638611895757104	0.0	0.0
2387	0.16871186621664214	0.006426142988334343	0.10624753056580057	0.031304927225601194	0.2066074614091753	0.1488822916680888	0.04198981671742937	0.0037226545625454878	0.15556511206052887	0.1305421965858539
1335	0.1323185554798198	0.02945357141382708	0.13749349207666628	0.038018024314874374	0.07686026641740161	0.04219724313545945	0.0902697984462967	0.1209047132158691	0.182445735048989	0.15003860045079664
4383	0.0	0.0	0.0	0.390367932387978	0.0	0.21850079849456228	0.0	0.2479063278580621	0.0	0.14322494125939755
3205	0.0	0.0177805010922088	0.0	0.45531349589491255	0.3163339817237525	0.004372494641786838	0.20619952664733915	0.0	0.0	0.0
13	0.16412631976152775	0.012672866263648688	0.13812022017136574	0.12327478643581141	0.16811591854418978	0.10045640534794838	0.015796710325710818	0.08526134902375596	0.08290061374954527	0.109274810376496
2244	0.14964950333927826	0.016179508897794286	0.07189384011975528	0.1122691928782026	0.05044376682865503	0.1629695417671889	0.17182139500761917	0.15984200712227922	0.037869962213428816	0.06706128182579837
3982	0.0	0.2264844735918447	0.15174858887598022	0.05595174922248577	0.11078519219989282	0.0	0.03653662891201688	0.12589434760941587	0.0	0.29259901958836376
4802	0.02908890781397662	0.0	0.321447895792779	0.0	0.31556049274253384	0.0	0.07535579591438153	0.0	0.258546907736329	0.0
3218	0.0	0.0	0.0	0.4000647173711097	0.0	0.0	0.0	0.21442994966024556	0.38550533296864486	0.0
778	0.12401809531939194	0.09766997770121404	0.0986717296709166	0.10489843457603694	0.03625998245673546	0.03784447712818469	0.09423991925404994	0.1365869087041631	0.11574444606022637	0.15406602912908102
